id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
28663627,Acropolis View Loft,216060408,NIki Athens Hotel,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97291,23.7338,Private room,250,1,0,,,4,352
28663753,Nook Room,216060408,NIki Athens Hotel,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97439,23.73347,Private room,159,1,0,,,4,153
28664088,Triple Bedroom,216071101,Reservations,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.9758,23.73361,Private room,120,1,0,,,5,364
28664274,Single Bedroom,216071101,Reservations,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97558,23.73282,Private room,80,1,0,,,5,364
28664422,Twin Bedroom with Queen bed,216071101,Reservations,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97475,23.73246,Private room,100,1,0,,,5,364
28664588,Triple Bedroom with 1 Queen bed & 1 Single Bed,216071101,Reservations,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97639,23.73248,Private room,120,1,0,,,5,364
28678712,75m2 Lovely central Home/ 5min to metro station,216368858,Lili,,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,38.00595,23.72971,Entire home/apt,35,2,0,,,1,321
28681382,Renovated studio next to Petralona train station,216378127,Mary,,ΠΕΤΡΑΛΩΝΑ,37.96844,23.70804,Entire home/apt,40,1,3,2019-03-29,1.61,1,180
28684830,Modern design loft with city view in the centre,9574866,Vassilis,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.98147,23.72568,Entire home/apt,110,1,0,,,1,0
28692036,A romantic trip to Greece,216455054,Lily,,ΝΕΟΣ ΚΟΣΜΟΣ,37.95182,23.72191,Entire home/apt,45,1,3,2018-10-20,0.46,1,162
28693128,"FREE TRANSFER FROM AIRPORT, WONDERFUL APPARTMENT !",216461823,Νικολέττα,,ΝΕΑ ΚΥΨΕΛΗ,37.99952,23.74763,Entire home/apt,25,2,25,2019-01-30,3.69,1,0
28703361,Central 3star Hotel Single Room with breakfast,216528363,Katerina Hotel,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.987,23.72161,Private room,65,1,0,,,5,365
28703716,Double room in central 3star hotel with breakfast,216528363,Katerina Hotel,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98512,23.72179,Private room,75,1,0,,,5,365
28703875,Triple room in central 3 star Hotel with Breakfast,216528363,Katerina Hotel,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98724,23.7217,Private room,105,1,0,,,5,365
28704046,Family room in central 3star Hotel with Breakfast,216528363,Katerina Hotel,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98541,23.72123,Private room,135,1,0,,,5,365
28704222,Twin room in 3star central Hotel with Breafkast,216528363,Katerina Hotel,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98694,23.72121,Private room,75,1,0,,,5,365
28708466,Stylish Studio in the Center of Athens,132091538,Nickolas,,ΑΝΩ ΠΑΤΗΣΙΑ,38.01624,23.73107,Entire home/apt,35,1,9,2019-04-04,1.68,6,130
28709524,Neoclassical House at Central Metro Station Attiki,184055654,Dimitris,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.99853,23.72455,Entire home/apt,40,2,2,2019-01-23,0.52,4,255
28712157,A Modern Studio in the Center of Athens,132091538,Nickolas,,ΠΑΤΗΣΙΑ,38.01578,23.73336,Entire home/apt,35,1,2,2019-04-06,1.87,6,147
28712552,A Cozy Studio in the Center of Athens,132091538,Nickolas,,ΠΑΤΗΣΙΑ,38.01504,23.73267,Entire home/apt,35,1,1,2018-11-06,0.19,6,154
28715525,New Renovated center apart. close to Museum,58007861,Costas,,ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ,37.99933,23.733,Entire home/apt,35,5,3,2019-01-28,0.48,2,339
